Catégorie : Toutes les catégories

Mois,iGraal: (Dans tous les pays)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,1
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,3
2006-10,8
2006-11,1
2006-12,7
2007-01,2
2007-02,2
2007-03,2
2007-04,4
2007-05,4
2007-06,7
2007-07,4
2007-08,2
2007-09,3
2007-10,4
2007-11,3
2007-12,17
2008-01,6
2008-02,8
2008-03,8
2008-04,10
2008-05,10
2008-06,7
2008-07,8
2008-08,8
2008-09,9
2008-10,8
2008-11,14
2008-12,24
2009-01,21
2009-02,37
2009-03,16
2009-04,17
2009-05,15
2009-06,15
2009-07,17
2009-08,16
2009-09,17
2009-10,21
2009-11,31
2009-12,31
2010-01,29
2010-02,26
2010-03,28
2010-04,23
2010-05,29
2010-06,27
2010-07,29
2010-08,26
2010-09,25
2010-10,27
2010-11,39
2010-12,41
2011-01,35
2011-02,27
2011-03,29
2011-04,27
2011-05,28
2011-06,29
2011-07,28
2011-08,25
2011-09,29
2011-10,32
2011-11,40
2011-12,50
2012-01,47
2012-02,36
2012-03,36
2012-04,37
2012-05,38
2012-06,40
2012-07,44
2012-08,35
2012-09,41
2012-10,46
2012-11,59
2012-12,70
2013-01,61
2013-02,52
2013-03,51
2013-04,47
2013-05,51
2013-06,48
2013-07,51
2013-08,43
2013-09,53
2013-10,51
2013-11,69
2013-12,75
2014-01,70
2014-02,59
2014-03,54
2014-04,54
2014-05,50
2014-06,53
2014-07,59
2014-08,53
2014-09,54
2014-10,59
2014-11,81
2014-12,84
2015-01,80
2015-02,69
2015-03,64
2015-04,61
2015-05,61
2015-06,63
2015-07,65
2015-08,57
2015-09,61
2015-10,64
2015-11,83
2015-12,88
2016-01,67
2016-02,55
2016-03,53
2016-04,52
2016-05,55
2016-06,54
2016-07,51
2016-08,43
2016-09,47
2016-10,54
2016-11,63
2016-12,61
2017-01,58
2017-02,50
2017-03,52
2017-04,49
2017-05,49
2017-06,53
2017-07,56
2017-08,53
2017-09,55
2017-10,60
2017-11,100
2017-12,81
2018-01,68
